age,esl
644,-82.4
645,-82.7
646,-86.6
647,-88.1
648,-86.4
649,-80.2
650,-79.9
651,-82.4
652,-85.1
653,-84.3
654,-78.2
655,-77.2
656,-82.7
657,-85.2
658,-83.5
659,-78.4
660,-75.2
661,-77.6
662,-79.2
663,-80.2
664,-79.3
665,-75
666,-72.4
667,-69.8
668,-66.7
669,-62.6
670,-61.5
671,-61.9
672,-65.6
673,-67.2
674,-62.6
675,-57
676,-53.5
677,-50.1
678,-45.5
679,-42.2
680,-38.4
681,-34
682,-28.8
683,-24.4
684,-21.3
685,-17.8
686,-12.6
687,-9.1
688,-11.4
689,-13
690,-15.6
691,-15.6
692,-13.4
693,-12.4
694,-12.3
695,-10.6
696,-9.9
697,-11.8
698,-15.5
699,-19.1
700,-21.3
701,-23.2
702,-26.9
703,-30
704,-31.2
705,-31.9
706,-36.7
707,-48.3
708,-57.7
709,-56.9
710,-57.9
711,-64.7
712,-68
713,-71.4
714,-80
715,-82.2
716,-83.2
717,-82.1
718,-86.1
719,-90.2
720,-88.9
721,-82.3
722,-76.7
723,-70.2
724,-66.7
725,-66
726,-63.3
727,-52
728,-44.2
729,-43.9
730,-44.3
731,-43.8
732,-41.8
733,-40
734,-42
735,-49.7
736,-50
737,-48.2
738,-47.7
739,-52.7
740,-56.4
741,-58.8
742,-61.8
743,-64.8
744,-67.3
745,-69.9
746,-71.1
747,-73.8
748,-73.7
749,-74.3
750,-74
751,-68.3
752,-65.7
753,-65.1
754,-63.7
755,-61.9
756,-59.2
757,-58.7
758,-57.4
759,-50.8
760,-50.8
761,-49.2
762,-47.7
763,-41.5
764,-39.1
765,-39.2
766,-36.2
767,-32.1
768,-27.3
769,-23.7
770,-20.7
771,-16.2
772,-12.2
773,-8
774,-6.3
775,-8.5
776,-9.1
777,-12.7
778,-13.6
779,-14.4
780,-12.9
781,-15.2
782,-20.8
783,-23.3
784,-22.6
785,-26.2
786,-31.5
787,-41.5
788,-54.6
789,-67.4
790,-79.8
791,-86.4
792,-87.4
793,-86.6
794,-88.2
795,-93.2
796,-95.7
797,-93.1
798,-92.4
