age,co2,co2_sigma,ref
0.1132998,284.151984,0.941799089,rubino2013
0.1168228,283.8203923,0.941796034,rubino2013
0.117126224,285.0861667,0.950443702,rubino2013
0.1230777,285.9089399,0.635045912,rubino2013
0.125255,281.3603653,0.941773478,rubino2013
0.1363403,284.4312876,0.941801666,rubino2013
0.1506636,282.7995519,0.788398537,rubino2013
0.1535285,280.4044367,1.72266188,rubino2013
0.1540565,282.3047107,0.634996638,rubino2013
0.1559035,281.617118,0.941775823,rubino2013
0.1697001,273.073717,0.412458894,rubino2013
0.1705109,280.2362982,0.634968641,rubino2013
0.1765445,277.8559525,0.941741685,rubino2013
0.1863032,276.396102,0.941728558,rubino2013
0.1871218,277.1556866,0.634927323,rubino2013
0.1978706,278.0020011,0.634938629,rubino2013
0.1980684,276.4573287,0.941729107,rubino2013
0.2008801,277.6000739,0.634933256,rubino2013
0.2087428,276.809,0.941732264,rubino2013
0.216128,278.3109425,0.941745791,rubino2013
0.2269926,277.0133098,0.9417341,rubino2013
0.2271356,278.2701102,1.267086427,rubino2013
0.2559336,277.3580509,0.634930024,rubino2013
0.2602586,276.3246168,0.941727917,rubino2013
0.2681057,276.6596678,0.634920713,rubino2013
0.3009031,278.0152295,0.634938806,rubino2013
0.3101855,276.6872123,0.94173117,rubino2013
0.3214007,273.7807623,0.412473216,rubino2013
0.3405392,271.1090305,0.412419288,rubino2013
0.3465814,275.0665778,0.634899562,rubino2013
0.3590094,279.3568611,0.95086906,rubino2013
0.3618233,281.1089282,0.941771184,rubino2013
0.3769871,282.5698275,0.635000242,rubino2013
0.3901371,281.8290415,0.941777761,rubino2013
0.4003525,283.5296826,1.267122056,rubino2013
0.4203243,283.9478904,0.635019025,rubino2013
0.4484714,283.1247804,0.635007795,rubino2013
0.4806032,280.3125047,1.267100183,rubino2013
0.5008362,282.2265804,0.950894954,rubino2013
0.5211956,279.7256959,0.412595084,rubino2013
0.5391394,279.6965499,0.941758334,rubino2013
0.5596679,280.9115788,0.63497776,rubino2013
0.6011501,278.3621212,0.412566904,rubino2013
0.61988,284.0676433,0.635020662,rubino2013
0.6425528,281.578409,0.94177547,rubino2013
0.6718032,278.4312489,0.412568329,rubino2013
0.6904929,282.1992861,0.941781148,rubino2013
0.6987306,282.4131105,0.634998111,rubino2013
0.739045,283.6882892,0.941794818,rubino2013
